name,parent,type,size
wheel-0.38.4.dist-info,site-packages,dir,6262
override.py,_distutils_hack,file,60
__init__.py,_distutils_hack,file,60
_distutils_hack,site-packages,dir,6172
__init__.cpython-311.pyc,__pycache__,file,73
__pycache__,_distutils_hack,dir,11154
_virtualenv.cpython-311.pyc,__pycache__,file,76
__pycache__,site-packages,dir,6911
activate,Scripts,file,57
activate.bat,Scripts,file,61
activate.fish,Scripts,file,62
activate.nu,Scripts,file,60
activate.ps1,Scripts,file,61
activate_this.py,Scripts,file,65
deactivate.bat,Scripts,file,63
deactivate.nu,Scripts,file,62
pip-3.11.exe,Scripts,file,61
pip.exe,Scripts,file,56
pip3.11.exe,Scripts,file,60
pip3.exe,Scripts,file,57
pydoc.bat,Scripts,file,58
python.exe,Scripts,file,59
pythonw.exe,Scripts,file,60
wheel-3.11.exe,Scripts,file,63
wheel.exe,Scripts,file,58
wheel3.11.exe,Scripts,file,62
wheel3.exe,Scripts,file,59
Scripts,venv,dir,1410144
