name,parent,type,size
core.py,certifi,file,56
__init__.py,certifi,file,60
__main__.py,certifi,file,60
certifi,_vendor,dir,290998
big5freq.py,chardet,file,60
big5prober.py,chardet,file,62
chardistribution.py,chardet,file,68
charsetgroupprober.py,chardet,file,70
charsetprober.py,chardet,file,65
codingstatemachine.py,chardet,file,70
cp949prober.py,chardet,file,63
enums.py,chardet,file,57
escprober.py,chardet,file,61
escsm.py,chardet,file,57
eucjpprober.py,chardet,file,63
euckrfreq.py,chardet,file,61
euckrprober.py,chardet,file,63
euctwfreq.py,chardet,file,61
euctwprober.py,chardet,file,63
gb2312freq.py,chardet,file,62
gb2312prober.py,chardet,file,64
hebrewprober.py,chardet,file,64
jisfreq.py,chardet,file,59
johabfreq.py,chardet,file,61
johabprober.py,chardet,file,63
jpcntx.py,chardet,file,58
langbulgarianmodel.py,chardet,file,70
langgreekmodel.py,chardet,file,66
langhebrewmodel.py,chardet,file,67
langhungarianmodel.py,chardet,file,70
langrussianmodel.py,chardet,file,68
langthaimodel.py,chardet,file,65
langturkishmodel.py,chardet,file,68
latin1prober.py,chardet,file,64
mbcharsetprober.py,chardet,file,67
mbcsgroupprober.py,chardet,file,67
mbcssm.py,chardet,file,58
sbcharsetprober.py,chardet,file,67
sbcsgroupprober.py,chardet,file,67
sjisprober.py,chardet,file,62
universaldetector.py,chardet,file,69
utf1632prober.py,chardet,file,65
utf8prober.py,chardet,file,62
version.py,chardet,file,59
__init__.py,chardet,file,60
chardet,_vendor,dir,1076818
chardetect.py,cli,file,62
__init__.py,cli,file,60
cli,chardet,dir,2406
languages.py,metadata,file,61
__init__.py,metadata,file,60
metadata,chardet,dir,13280
ansi.py,colorama,file,56
ansitowin32.py,colorama,file,63
initialise.py,colorama,file,62
win32.py,colorama,file,57
winterm.py,colorama,file,59
__init__.py,colorama,file,60
colorama,_vendor,dir,27348
compat.py,distlib,file,58
database.py,distlib,file,60
index.py,distlib,file,57
locators.py,distlib,file,60
manifest.py,distlib,file,60
markers.py,distlib,file,59
metadata.py,distlib,file,60
resources.py,distlib,file,61
scripts.py,distlib,file,59
t32.exe,distlib,file,56
t64-arm.exe,distlib,file,60
t64.exe,distlib,file,56
util.py,distlib,file,56
version.py,distlib,file,59
w32.exe,distlib,file,56
w64-arm.exe,distlib,file,60
w64.exe,distlib,file,56
wheel.py,distlib,file,57
__init__.py,distlib,file,60
distlib,_vendor,dir,1139219
distro.py,distro,file,58
__init__.py,distro,file,60
__main__.py,distro,file,60
distro,_vendor,dir,49886
codec.py,idna,file,57
compat.py,idna,file,58
core.py,idna,file,56
idnadata.py,idna,file,60
intranges.py,idna,file,61
package_data.py,idna,file,64
uts46data.py,idna,file,61
__init__.py,idna,file,60
idna,_vendor,dir,270310
exceptions.py,msgpack,file,62
ext.py,msgpack,file,55
fallback.py,msgpack,file,60
__init__.py,msgpack,file,60
msgpack,_vendor,dir,42850
markers.py,packaging,file,59
requirements.py,packaging,file,64
